Smp_004820.1 GO:0005783,GO:0005787,GO:0005792,GO:0006465,GO:0008233,GO:0009003,GO:0016020,GO:0016021
Smp_004910.1 GO:0003924,GO:0005525,GO:0005622,GO:0005764,GO:0005769,GO:0005770,GO:0005791,GO:0005795,GO:0005886,GO:0006886,GO:0006895,GO:0006913,GO:0007264,GO:0015031,GO:0016192,GO:0030140
Smp_004940.1 GO:0003735,GO:0005622,GO:0005840,GO:0006412
Smp_004980.1 GO:0000027,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843
Smp_004990.1 GO:0005524,GO:0005737,GO:0042026,GO:0051082
Smp_005000.1 GO:0005886,GO:0005905,GO:0006897,GO:0015031,GO:0030125,GO:0031410
Smp_005010.1 GO:0004578,GO:0005783,GO:0005789,GO:0009058,GO:0016021
Smp_005020.1 GO:0004871,GO:0005622,GO:0005634,GO:0007166,GO:0008270
Smp_005050.1 GO:0003824,GO:0005737,GO:0005739,GO:0005741,GO:0008152
Smp_005060.1 GO:0016020,GO:0016021
Smp_005070.1 GO:0005524,GO:0005737,GO:0006260,GO:0006457,GO:0008270,GO:0009408,GO:0031072,GO:0051082
Smp_005070.2 GO:0005524,GO:0005737,GO:0006457,GO:0008270,GO:0009408,GO:0031072,GO:0051082
Smp_005080.1 GO:0003723,GO:0006364,GO:0008757
Smp_005080.2 GO:0003723,GO:0006355,GO:0006364,GO:0008649,GO:0042254
Smp_005080.3 GO:0003723,GO:0006364,GO:0008757
Smp_005140.1 GO:0004872,GO:0005576,GO:0007165,GO:0007275,GO:0016020,GO:0016021
Smp_005160.1 GO:0003723,GO:0005634,GO:0005737,GO:0046872
Smp_005180.1 GO:0003746,GO:0003924,GO:0005525,GO:0005737,GO:0006412,GO:0006414
Smp_005190.1 GO:0004674,GO:0005083,GO:0005524,GO:0005737,GO:0006468,GO:0006950,GO:0007243
Smp_005190.2 GO:0004674,GO:0005083,GO:0005524,GO:0005737,GO:0006468,GO:0006950,GO:0007243
Smp_005200.1 GO:0004674,GO:0004713,GO:0005524,GO:0005737,GO:0006468
Smp_005210.1 GO:0000118,GO:0003714,GO:0004407,GO:0005515,GO:0005634,GO:0006350,GO:0016575,GO:0016580,GO:0016581,GO:0031523,GO:0035098
Smp_005230.1 GO:0005509
Smp_005230.2 GO:0005509
Smp_005230.3 GO:0005509
Smp_005260.1 GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006397,GO:0006417,GO:0051028
